,price,Address,area,Bedrooms
2930,13500000.0,Other,2000.0,3.0
2932,5000000.0,Other,900.0,2.0
2933,9300000.0,Other,1840.0,3.0
2934,6500000.0,Other,1157.0,2.0
2936,3900000.0,Other,600.0,2.0
2937,10300000.0,Other,1545.0,3.0
2938,3800000.0,Other,700.0,2.0
2939,3100000.0,Other,700.0,2.0
2940,5500000.0,Other,968.0,2.0
2941,5200000.0,Other,900.0,2.0
2942,3700000.0,Other,1050.0,2.0
2943,5800000.0,Other,1150.0,2.0
2945,16000000.0,Other,2100.0,4.0
2949,5000000.0,Other,1000.0,2.0
2950,6500000.0,Other,1317.0,3.0
2951,9000000.0,Other,1100.0,3.0
2952,4200000.0,Other,980.0,2.0
2953,4500000.0,Other,903.0,2.0
2954,5500000.0,Other,1050.0,3.0
2956,4500000.0,Other,850.0,2.0
2957,14000000.0,Other,2250.0,3.0
2958,3700000.0,Other,850.0,2.0
2960,3000000.0,Other,750.0,2.0
2963,17000000.0,Other,2293.0,3.0
2964,4000000.0,Other,950.0,2.0
2965,9500000.0,Other,1735.0,3.0
2967,8500000.0,Other,1600.0,3.0
2968,5000000.0,Other,1040.0,2.0
2970,6000000.0,Other,1100.0,3.0
2971,7000000.0,Other,1250.0,2.0
2972,4200000.0,Other,800.0,2.0
